Acronym,Publication Title
PDP,"Parallel Distributed & Network-Based Processing, 2007 15th Euromicro International Conference on"
PECON,"Power and Energy Conference, 2006 1st IEEE International"
PEDES,"Power Electronics, Drives and Energy Systems for Industrial Growth, 2006 International Conference on"
PEDS,"Power Electronics and Drive Systems, 2007 International Conference on"
PEEW,"Power Electronics Education Workshop, 2005 IEEE"
PERCOM,"Pervasive Computing and Communications (PERCOM), 2007 IEEE International Conference on"
PERCOM SUPPLE,"Pervasive Computing and Communications Workshop Supplements, 2006 4th IEEE Conference on"
PERCOM Wkshp,"Pervasive Computing and Communications Workshop, 2007 5th Annual IEEE International Conference on"
PERCOM WKSP,"Pervasive Computing and Communications Workshops, 2006 4th Annual IEEE Conference on  (PerCom Workshops)"
PERCOM Worksho,"Pervasive Computing and Communications Workshops, Third IEEE International Conference on  (PerCom 2005 Wksp)"
PES,"Power Engineering Society General Meeting, 2007 IEEE"
PESC,"Power Electronics Specialists Conference, 2006"
PG,"Computer Graphics and Applications (Pacific Graphics), 2007 15th Pacific Conference on"
PHM,"Prognostics and Health Management, 2008 International Conference on"
PICMET,"Technology Management for the Global Future, 2006"
PIMRC,"Personal, Indoor and Mobile Radio Communications, 2006 IEEE 17th International Symposium on"
PIRMC,"Personal, Indoor and Mobile Radio Communications,2005 IEEE 16th International Symposium on"
PLANS,"Position, Location and Navigation Symposium - PLANS 2006, 2006 IEEE/ION"
PLT,"Pen-Based Learning Technologies (PLT), 2007 1st International Workshop on"
PMA,"Plant Growth Modeling, Simulation, Visualization and Applications (PMA), 2006 International Symposium on"
PMAPS,"Probabilistic Methods Applied to Power Systems, 2006 International Conference on"
POLICY,"Policies for Distributed Systems and Networks (POLICY), 2006 7th IEEE Workshop on"
Polytronic,"Polmyers and Adhesives in Microelectronics and Photonics, Polytronic 2007 - 6th International Conference on"
PORTABLE,"Portable Information Devices, 2007 IEEE International Conference on"
PowerAfrica,"Power Engineering Society Conference and Exposition in Africa, 2007 IEEE"
POWERCON,"Power Systems Technology POWERCON, 2006 International Conference on"
POWERENG,"Power Engineering, Energy and Electrical Drives, 2007 International Conference on"
PowerTech,"POWERTECH, 2005 IEEE Russia"
PPIC,"Pulp and Paper Industry Technical Conference, Conference Record of 2007 Annual"
PPPS,"Pulsed Power Conference, 2007 IEEE"
PRDC,"Dependable Computing, 2005 11th Pacific Rim International Symposium on"
PRIME,"Microelectronics and Electronics, 2006 Ph.D. Research in"
PROMISE,"Predictor Models in Software Engineering (PROMISE 2007), 2007 Third International Workshop on"
PS,"Photonics in Switching, 2007"
PSC,"Power Systems Conference, 2007"
PSCE,"Power Systems Conference and Exposition, 2006 IEEE/PES"
PSES,"Product Safety Engineering, 2006 IEEE Symposium on"
PVSC,"Photovoltaic Specialists Conference, 2005 31st IEEE"
QBSC,"Communications, 2008 24th Biennial Symposium on"
QEL,"Quantum Electronics and Laser Science Conference, 2007"
QELS,"Quantum Electronics & Lasers Science, 2005 Conference on"
QEST,"Quantitative Evaluation QEST 2006, 2006 2nd International Conference on"
QSIC,"Quality Software, 2005 5th International Conference on"
QUATIC,"Quality of Information and Communication Technology (QUATIC), 2007 6th International Conference on the"
RADAR,"Radar Conference, 2008 IEEE"
RADECS,"Radiation and Its Effects on Components and Systems (RADECS 2005), 2005 8th European Conference on"
RADIOELEKTRON,"Radioelektronika, 2008 18th International Conference"
RAM,"Robotics, Automation and Mechatronics, 2006 IEEE Conference on"
RAMS,"Reliability and Maintainability Symposium, 2007 Proceedings - Annual"
RAST,"Recent Advances in Space Technologies, 2007 3rd International Conference on"
RCIS,"Research Challenges in Information Science, 2008 Second International Conference on"
RE,"Requirements Engineering Conference (RE),2006 IEEE International"
REBSE,"Realising Evidence-Based Software Engineering (REBSE 2007), 2007 Second International Workshop on"
ReConfig,"Reconfigurable Computing and FPGAs ReConFig 2006, 2006 International Conference on"
REPC,"Rural Electric Power Conference, 2006 IEEE"
REV,"Requirements Engineering Visualization (REV), 2006 1st International Workshop on"
RFIC,"Radio Frequency Integrated Circuits Symposium, 2007 IEEE"
RFID,"RFID, 2007 IEEE International Conference on"
RFIT,"Radio-Frequency Integration Technology (RFIT): Integrated Circuits for Wideband Comm. & Wireless Sensor Network, 2005 IEEE Intl."
RIDE,"Research Issues in Data Engineering, 2005 15th International Workshop on"
RIVF,"Research, Innovation and Vision for the Future, 2006 International Conference on"
ROBIO,"Robotics and Biomimetics (ROBIO), 2005 IEEE International Conference on"
ROCS,"Reliability of Compound Semiconductors Digest, 2007"
ROMAN,"Robot and Human Interactive Communication, 2005 IEEE International Workshop on"
RO-MAN,"Robot and Human Interactive Communication, 2008 17th IEEE International Symposium on"
ROMOCO,"Robot Motion and Control - (RoMoCo 2005),  2005 5th Workshop on"
ROSE,"Robotic Sensing: Roboticand Sensors Environments, 2005 International Workshop on"
RRS,"Rational Robust and Secure Negotiations in Multi-Agent Systems, 2005"
RSP,"Rapid System Prototyping (RSP), 2006 17th IEEE Symposium on"
RT,"Real-Time Conference, 2007 15th IEEE-NPSS"
RTAS,"Real-Time and Embedded Technology and Application Symposium (RTAS), 2006 Proceedings 12th IEEE"
RTCSA,"Embedded and Real-Time Computing Systems and Applications (RTCSA), 2006 12th International Conference on"
RTP,"Advanced Thermal Processing of Semiconductors, 2006 14th International Conference on"
RTSS,"Real-Time Systems Symposium (RTSS), 2006 IEEE 27th"
RuleML,"Rules and Rule Markup Languages for the Semantic Web (RuleML), 2006 2nd International Conference on"
RWS,"Radio and Wireless Symposium (RWS),  2006 IEEE"
SACI,"Applied Computational Intelligence and Informatics, 2007 4th International Symposium on"
SADFE,"Systematic Approaches to Digital Forensic Engineering, 2005 1st International Workshop on"
SAFE,"Signal Processing Applications for Public Security and Forensics, 2007 IEEE Workshop on"
SAINT,"Applications and the Internet (SAINT), 2007 International Symposium on"
SAINT WKSHP,"Applications and the Internet Workshops, 2006 Symposium on"
SAM,"Sensor Array and Multichannel Signal Processing Workshop, 2006 IEEE"
SAMI,"Applied Machine Intelligence and Informatics, 2008 6th International Symposium on"
SAMOS,"Embedded Computer Systems: Architectures, Modeling, and Simulation (SAMOS), 2007 International Conference on"
SARNOFF,"Sarnoff Symposium, 2008 IEEE"
SAS,"Sensors Applications Symposium, 2007 IEEE"
SASO,"Self-Adaptive and Self-Organizing Systems, 2007 1st IEEE International Conference on"
SBAC-PAD,"Computer Architecture and High Performance Computing (SBAC-PAD), 2006 18th International Symposium on"
SBCCI,"Integrated Circuits and Systems Design, 2005 18th Symposium on"
SBRN,"Artificial Neural Networks (SBRN), 2006 Brazilian Symposium on"
SC,"SC07 Conference, ACM/IEEE"
SCAM,"Source Code Analysis and Manipulation, 2005 IEEE Workshop on  (SCAM 2005)"
SCAN,"Scientific Computing Arithmetic and Validated Numerics SCAN, 2006"
SCC,"Services Computing, 2006 IEEE International Conference on"
SCCC,"Chilean Computer Science Society (SCCC), 2007 XXVI International Conference of the"
SCESM,"Scenarios and State Machines (SCESM 2007), 2007 Sixth International Workshop on"
SCONEST,"Engineering Sciences and Technology (SCONEST), 2005 Student Conference on"
SCORED,"Research and Development, 2006 4th Student Conference on"
SCVT,"Communications and Vehicular Technology in the Benelux, 2007 14th IEEE Symposium on"
SDEMPED,"Diagnostics for Electric Machines, Power Electronics & Drives, 2007 IEEE International Symposium on"
SDR,"Networking Technologies for Software Defined Radio Networks, 2007 2nd IEEE Workshop on"
SDSOA,"Systems Development in SOA Environments (SDSOA 2007), 2007 International Workshop on"
SE,"Software Evolvability (SE), 2006"
SEAA,"Software Engineering and Advanced Applications (SEAA), 2006 32nd Euromicro Conference on"
SEAMS,"Software Engineering for Adaptive and Self-Managing Systems (SEAMS), 2007 International Workshop on"
SEAS,"Software Engineering for Automotive Systems (SEAS), 2007 Fourth International Workshop on"
SECON,"Sensor and Ad Hoc Communications and Networks, 2006 3rd Annual IEEE Communications Society Conference on"
SecPerU,"Security Privacy and Trust in Pervasive and Ubiquitous Computing (SecPeru), 2006 2nd International Workshop on"
SECURECOM,"Security and Privacy in Communication Networks and Workshops, 2007 Third International Conference on"
SECURWARE,"Emerging Security Information, Systems, and Technologies, 2007 International Conference on"
SEFM,"Software Engineering and Formal Methods (SEFM), 2006 IEEE International Conference on"
SE-HPC,"Software Engineering for High Performance Computing Applications (SE-HPC 2007), 2007 Third International Workshop on"
SEMI-THERM,"Semiconductor Thermal Measurement & Management Symposium, 2006 IEEE/CPMT"
SENSORCOMM,"Sensor Technologies and Applications, 2007 International Conference on"
SEPCASE,"Software Engineering for Pervasive Computing Applications, Systems, and Environments (SEPCASE 2007), 2007 First Interntaional"
SERA,"Software Engineering Research Management & Applications (SERA), 2006 4th International Conference on"
SERVICES,"Services Computing Workshops, 2007 IEEE"
SESS,"Software Engineering for Secure Systems (SESS 2007), 2007 Third International Workshop on"
SEW,"Software Engineering Workshop (SEW), 2006 30th IEEE/NASA"
SHARK/ADI,"Sharing and Reusing Architectural Knowledge Architecture Rationale and Design Intent SHARK/ADI, 2007 2nd Workshop on"
SI,"System Integration, 2008 IEEE/SICE International Symposium on"
SIBCON,"Control and Communications, 2007 Siberian Conference on"
SIBGRAPI,"Computer Graphics and Image Processing (SIBGRAPI), 2006 19th Brazilian Symposium on"
SIBIRCON,"Computational Technologies in Electrical and Electronics Engineering, 2008 IEEE Region 8 International Conference on"
SICE,"SICE 2007 Annual Conference, Proceedings of"
SICON,"Sensors for Industry Conference, 2005"
SIEDS,"Systems and Information Engineering Design Symposium, 2006 IEEE"
SIES,"Industrial Embedded Systems, 2006 International Symposium on"
SIIT,"Standardization & Innovation in Information Technology (SIIT 2005), 2005 4th International Conference on"
SIPS,"Signal Processing Systems Design and Implementation, 2006 IEEE Workshop on"
SIRF,"Silicon Monolithic Integrated Circuits in RF Systems, 2007 Topical Meeting on"
SIS,"Swarm Intelligence Symposium, 2007 IEEE"
SISAP,"Similarity Search and Applications, 2008 First International Workshop on"
SISPAD,"Simulation of Semiconductor Processes and Devices, 2006 International Conference on"
SISW,"Security in Storage Workshop (SISW), 2007 4th International IEEE"
SISY,"Intelligent Systems & Informatics, 2007 5th Intl Symp on"
SITIS,"Signal-Image Technologies and Internet-Based System, 2007 Third International IEEE Conference on"
SIU,"Signal Processing and Communications Applications, 2007 IEEE 15th"
SKG,"Semantics Knowledge and Grid (SKG), 2006 2nd International Conference on"
SLT,"Spoken Language Technology Workshop, 2006 IEEE"
SMAP,"Semantic Media Adaptation and Personalization, 2006 1st International Workshop on"
SMC,"Systems, Man and Cybernetics, 2006 IEEE International Conference on"
SMCIA,"Soft Computing in Industrial Applications, 2005 IEEE Mid-Summer Workshop on"
SMC-IT,"Space Mission Challenges for Information Technology (SMC-IT), 2006 IEEE International Conference on"
SMI,"Shape Modeling International (SMI), 2006"
SNAPI,"Storage Network Architecture and Parallel I/Os, 2007 Fourth International Workshop on"
SNDP,"Software Engineering Artificial Intelligence Networking and Parallel Distributed Computing, 2006 7th International Conference on"
SNPD,"Software Engineering Artificial Intelligence Networking and Parallel Distributed Computing, 2007 8th ACIS International Conference on"
SNW,"Silicon Nanoelectronics Workshop, 2008 IEEE"
SOC,"SOC Conference, 2006 IEEE International"
SOCA,"Service-Oriented Computing Applications (SOCA), 2007 IEEE International Conference on"
SOCC,"SOC Conference, 2005 IEEE International"
SOCCER,"Service Oriented Computing: Consequences for Engineering Requirements (SOCCER), 2006"
SOFA,"Soft Computing Applications, 2007 2nd International Workshop on"
SOFE,"Fusion Engineering SOFE 07, 22nd IEEE/NPSS Symposium on"
SOFTCOM,"Software in Telecommunications and Computer Networks, 2006 International Conference on"
SOI,"SOI Conference Proceedings, 2007 IEEE International"
SOLI,"Service Operations and Logistics, and Informatics, 2007 IEEE International Conference on"
SOSE,"System of Systems Engineering, 2006 IEEE/SMC International Conference on"
SOUTHEASTCON,SOUTHEASTCON 2005
SP,"Security and Privacy (SP), 2007 IEEE Symposium on"
SPA,"Signal Processing Algorithms, Architectures, Arrangements, and Applications, 2007"
SPAWC,"Signal Processing Advances in Wireless Communications, 2006 IEEE 7th Workshop on"
SPCA,"Pervasive Computing and Applications, 2006 1st International Symposium on"
SPEEDAM,"Power Electronics, Electrical Drives, Automation and Motion, 2006 International Symposium on"
SPI,"Signal Propagation on Interconnects, 2006 IEEE Workshop on"
SPL,"Programmable Logic, 2007 3rd Southern Conference on"
SPLC,"Software Product Line Conference (SPLC), 2006 10th International"
SRDS,"Reliable Distributed Systems (SRDS 2006), 2006 IEEE 25th Symposium on"
SRSP,"Secuirty and Privacy (SRSP), 2006 IEEE Symposium on"
SSD,"Systems, Signals and Devices, 2008 5th International Multi-Conference on"
SSDBM,"Scientific and Statistical Database Management (SSDBM), 2006 International Conference"
SSIAI,"Image Analysis & Interpretation (SSIAI), 2006 IEEE Southwest Symposium on"
SSP,"Statistical Signal Processing, 2007 IEEE/SP 14th Workshop on"
SSRR,"Safety, Security, & Rescue Robots, 2005 IEEE International Workshop on"
SSST,"System Theory, Proceedings of the Thirty-Ninth Southeastern Symposium on"
STEP,"Software Technology and Engineering Practice (STEP), 2005 IEEE International Workshop on"
SUTC,"Sensor Networks, Ubiquitous, and Trustworthy Computing (SUTC), 2006 Conference on"
SWOD,"Databases for Next Generation Researchers (SWOD), 2007 IEEE International Workshop on"
SWSTE,"Software-Science, Technology Engineering, IEEE Intl Conf on (SwSTE 2005)"
SYMPOTIC,"Sensor Networks and Symposium on Trends in Communications - SympoTIC, 2006 3rd Joint IST Workshop on"
SYNASC,"Symbolic and Numeric Algorithms for Scientific Computing, 2006 8th International Symposium on"
T&D,"Transmission & Distribution Conference & Exposition, 2005/2006 IEEE/PES"
TABLETOP,"Horizontal Interactive Human Computer System (TABLETOP),2006 IEEE International Workshop on"
TAIC PART,"Testing: Academic and Industrial Conference - Practice and Research Techniques (TAIC PART), 2007"
TAIC-PART,"Testing Academia and Industry Conference Practice and Research Techniques (TAIC-PART), 2006"
TAPIA,"Computing Conference, 2005 Richard Tapia Celebration of Diversity in"
TASE,"Theoretical Aspects of Software Engineering (TASE), 2007 1st IEEE/IFIP International Symposium on"
TCSET,"Modern Problems of Radio Engineering, Telecommunications and Computer Science, 2006 Proceedings of International Conference on"
TEDC,"Technology for Education in Developing Countries (TEDC), 2006 IEEE International Workshop on"
TELSIKS,"Telecommunication in Modern Satellite, Cable and Broadcasting Services, 2005 7th International Conference on"
TENCON,TENCON 2006 - 2006 IEEE Region 10 Conference
THERMINIC,"Thermal Investigation of ICs and Systems, 2007 13th International Workshop on"
THETA,"Thermal Issues in Emerging Technologies - Theory and Application, 2007 International Conference on"
TIME,"Temporal Representation and Reasoning (TIME), 2006 13th International Symposium on"
TRANSDUCERS,"Solid-State Sensors, Actuators and Microsystems Conference, TRANSDUCERS 2007 - 2007 International"
TRIDENTCOM,"Testbeds and Research Infrastructure for the Development of Networks and Communities, 2007 3rd International Conference on"
TyD-LA,"Transmission and Distribution Conference and Exposition: Latin America, 2008 IEEE/PES"
UBICOMM,"Mobile Ubiquitous Computing, Systems, Services and Technologies (UBICOMM 2007), 2007 International Conference on"
UGIM,"Biennial University/Government Industry Microelectronics Symposium, 2006 Proceedings of the Sixteenth"
UKSIM,"Computer Modeling and Simulation, 2008 Tenth International Conference on"
ULIS,"Ultimate Integration of Silicon, 2008 9th International Conference on"
ULS,"Software Technologies for Ultra-Large-Scale Systems (ULS 2007), 2007 International Workshop on"
U-Media,"Ubi-media Computing, 2008 First IEEE International Conference on"
UPEC,"Universities Power Engineering Conference,Proceedings of the 41st International"
VAST,"Visual Analytics Science and Technology (VAST), 2006 IEEE Symposium on"
VECIMS,"Virtual Environments, Human-Computer Interfaces and Measurement Systems, 2006 IEEE Symposium on"
VG,"Volume Graphics,2005 IEEE International Workshop on"
VIS,"Visualization Conference (VIS), 2005 IEEE"
VISSOFT,"Visualizing Software for Understanding and Analysis (VISSOFT), 2007 4th IEEE International Workshop on"
VL/HCC,"Visual Languages/Human Centric Computing (VL/HCC), 2006 IEEE Symposium on"
VLHCC,"Visual Languages and Human-Centric Computing (VL/HCC), 2007 IEEE Symposium on"
VLSI DESIGN,"VLSI Design, 2007 20th International Conference on"
VLSIC,"VLSI Circuits, 2008 IEEE Symposium on"
VLSI-DAT,"VLSI Design, Automation and Test, 2007 International Symposium on"
VLSI-SoC,"Very Large Scale Integration, 2007 IFIP International Conference on"
VLSIT,"VLSI Technology, 2007 Symposium on"
VLSI-TAS-TECH,"VLSI Technology, Systems, and Applications, 2007 International Symposium on"
VLSI-TSA,"VLSI-TSA International Symposium on VLSI Technology, 2005"
VLSI-TSA-TECH,"VLSI Technology, Systems, and Applications, 2006 International Symposium on"
VPPC,"Vehicle Power and Propulsion Conference, 2006 IEEE"
VR,"Virtual Reality Conference (VR), 2007 IEEE"
VSS,"Variable Structure Systems, 2006 International Workshop on"
VTC,"Vehicular Technology Conference Fall, 2007 IEEE 66th"
VTDC,"Virtualization Technology in Distributed Computing (VTDC 2006), 2006 First International Workshop on"
VTS,"VLSI Test Symposium (VTS),Proceedings 2006 24th"
WAC,"World Automation Congress, 2006"
WACV,"Computer Vision (WACV), 2007 IEEE Workshop on Applications of"
WAIM,"Web-Age Information Management Workshops (WAIM), 2006 7th International Conference on"
WAMI,"Wireless and Microwave Technology Conference: An IEEE Industry/Government/Education Confernce, 2005 IEEE Annual"
WAMICON,"Wireless and Microwave Technology Conference, 2006 IEEE Annual"
WASA,"Wireless Algorithms Systems and Applications (WASA), 2007 International Conference on"
WASPAA,"Applications of Signal Processing to Audio and Acoustics, 2005 IEEE Workshop on"
WCICA,"Intelligent Control and Automation, 2006 6th World Congress on"
WCMeB,"Management of e-Business, 2007 World Congress"
WCNC,"Wireless Communications & Networking Conference (WCNC), 2006 IEEE"
WCNM,"Wireless Communications, Networking and Mobile Computing,  2005 International Conference on"
WCRE,"Reverse Engineering, 2006 13th Working Conference on"
WCSN,"Wireless Communication and Sensor Networks, 2007 Third International Conference on"
WCW,"Web Content Caching and Distribution, 2005 10th International Workshop on"
WDFIA,"Digital Forensics and Incident Analysis (WDFIA), 2007 2nd Annual Workshop on"
WEAH,"Evolvable and Adaptive Hardware, 2007 IEEE Workshop on"
WETICE,"Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE), 2006 IEEE 15th Workshop on"
WFCS,"Factory Communication Systems, 2006 IEEE International Workshop on"
WFOPC,"Fibre and Optical Passive Components, 2005 IEEE Workshop on"
WHC,World Haptics Conference (WHC 2005)
WI,"Web Intelligence (WI), 2006 IEEE/WIC/ACM International Conference on"
WIAMIS,"Image Analysis for Multimedia Interactive Services (WIAMIS), 2007 Eighth International Workshop on"
WiCOM,"Wireless Communications, Networking and Mobile Computing, 2008 4th International Conference on"
WICON,"Wireless Internet, 2005 1st International Conference on"
WICSA,"Software Architecture (WICSA), 2007 Working IEEE/IFIP Conference on"
WI-IAT WI-IAT Wor,"Web Intelligence and Intelligent Agent Technology and Workshops (WI-IAT WI-IAT Workshops), 2007 IEEE/WIC/ACM International"
WI-IAT Workshops,"Web Intelligence and Intelligent Agent Technology - Workshops (WI-IAT Workshops), 2007 IEEE/WIC/ACM International Conferences"
WiMAX,"Mobile WiMAX Symposium, 2007 IEEE"
WiMOB,"Wireless and Mobile Computing, Networking and Communications, 2006 IEEE International Conference on"
WIOPT,"Modeling and Optimization in Mobile, Ad Hoc and Wireless Networks and Workshops, 2007 5th International Symposium on"
WISP,"Intelligent Signal Processing, 2007 IEEE International Workshop on"
WKDD,"Knowledge Discovery and Data Mining, 2008 Workshop on"
WMCS,"Mobile Commerece and Services, 2005 2nd IEEE International Workshop on"
WMCSA,"Mobile Computing Systems and Applications (WMCSA),2006 7th IEEE Workshop on"
WMCSA/HOTMOBI,"Mobile Computing Systems and Applications Supplement (WMCSA/HotMobile 2006 Supplement), 2006 7th IEEE Workshop on"
WMED,"Microelectronics and Electron Devices, 2006 IEEE Workshop on"
WMUTE,"Wireless, Mobile and Ubiquitous Technology in Education (WMUTE), 2006 International Workshop on"
WMVC,"Motion and Video Computing, 2007 Workshop on"
WOCC,"Wireless and Optical Communications Conference, 2005 14th Annual"
WOCN,"Wireless and Optical Communications Networks, 2006 IFIP International Conference on"
WODA,"Dynamic Analysis (WODA 2007), 2007 Fifth International Workshop on"
WODES,"Discrete Event Systems, 2006 8th International Workshop on"
WONS,"Wireless On Demand Network Systems and Services, 2007 Second Annual Conference on"
WORDS,"Object-Oriented Real-Time Dependable Systems, 2005 10th IEEE International Workshop on"
World Haptics,"Haptic Interfaces for Virtual Environments and Teleoperator Systems (WHC), 2007 2nd Joint EuroHaptics Conference and Symposium"
WoSQ,"Software Quality (WoSQ 2007), 2007 Fifth International Workshop on"
WOWMOM,"A World of Wireless, Mobile and Multimedia Networks WOWMOM, 2006 IEEE International Symposium on"
WPNC,"Positioning, Navigation and Communication, 2007 4th Workshop on"
WRECOM,"Wireless Rural and Emergency Communications, 2007"
WSA,"Smart Antennas (WSA), 2008 International ITG Workshop on"
WSC,"Winter Simulation Conference, Proceedings of the 2006"
WSE,"Web Site Evolution, 2005 7th IEEE International Workshop on"
WTS,"Wireless Telecommunications Symposium (WTS), 2006"
WWV,"Automated Specification and Verification of Web Systems (WWV), 2006 2nd International Workshop on"
